test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
LGALS7	LGALS7	-	chr19:39261607-39264157	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LGALS7B	LGALS7B	-	chr19:39279849-39282394	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LGALS8	LGALS8	-	chr1:236681513-236767841	undifferentiated	differentiated	OK	5.72234	4.31886	-0.405954	0.816333	0.41431	0.569169	no
LGALS8-AS1	LGALS8-AS1	-	chr1:236681513-236767841	undifferentiated	differentiated	NOTEST	0	0.0632158	1.79769e+308	1.79769e+308	0.433158	1	no
LGALS9	LGALS9	-	chr17:25958173-25976586	undifferentiated	differentiated	NOTEST	0	0.0983906	1.79769e+308	1.79769e+308	0.155905	1	no
LGALS9B	LGALS9B	-	chr17:20353175-20370848	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LGALS9C	LGALS9C	-	chr17:18380098-18398259	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LGALSL	LGALSL	-	chr2:64681326-64688517	undifferentiated	differentiated	OK	4.70562	3.93192	-0.25915	0.714548	0.474889	0.624251	no
LGI1	LGI1	-	chr10:95517565-95557916	undifferentiated	differentiated	OK	0.20942	1.27974	2.61138	-2.56842	0.0102163	0.0368242	yes
LGI2	LGI2	-	chr4:25000470-25032414	undifferentiated	differentiated	NOTEST	0	0.0153518	1.79769e+308	1.79769e+308	0.10868	1	no
LGI3	LGI3	-	chr8:22004342-22014344	undifferentiated	differentiated	NOTEST	0.129581	0.192859	0.573701	-0.469322	0.638839	1	no
LGI4	LGI4	-	chr19:35615416-35626178	undifferentiated	differentiated	NOTEST	0.0451243	0.0656444	0.540768	-0.363263	0.716408	1	no
LGMN	LGMN	-	chr14:93170151-93215047	undifferentiated	differentiated	OK	4.95223	4.69933	-0.0756246	0.175536	0.860659	0.914713	no
LGR4	LGR4	-	chr11:27387507-27494334	undifferentiated	differentiated	OK	2.82695	3.26379	0.207301	-0.575256	0.565118	0.699631	no
LGR5	LGR5	-	chr12:71833812-71978621	undifferentiated	differentiated	OK	24.5417	5.33102	-2.20275	6.25771	0.000000000390683	0.0000000296133	yes
LGR6	LGR6	-	chr1:202163117-202288889	undifferentiated	differentiated	NOTEST	0	0.00714545	1.79769e+308	1.79769e+308	0.349496	1	no
LGSN	LGSN	-	chr6:63985855-64029882	undifferentiated	differentiated	NOTEST	0.00858476	0.0206589	1.26691	-0.458433	0.646641	1	no
LHB	LHB	-	chr19:49519236-49520347	undifferentiated	differentiated	OK	0.252134	1.08157	2.10087	-1.25111	0.210896	0.350717	no
LHCGR	LHCGR	-	chr2:48757063-49003656	undifferentiated	differentiated	NOTEST	0.0369632	0.0298304	-0.309303	0.0768729	0.938725	1	no
LHFP	LHFP	-	chr13:39917028-40177356	undifferentiated	differentiated	OK	0.753854	1.68824	1.16316	-1.82693	0.0677097	0.15338	no
LHFPL1	LHFPL1	-	chrX:111873878-111923375	undifferentiated	differentiated	NOTEST	0.0310617	0.0196101	-0.663541	0.260752	0.794284	1	no
LHFPL2	LHFPL2	-	chr5:77781037-77944648	undifferentiated	differentiated	OK	8.63517	10.45	0.27521	-1.02963	0.303182	0.45588	no
LHFPL3	LHFPL3	-	chr7:103969103-104567092	undifferentiated	differentiated	OK	0.737802	0.726495	-0.0222804	0.0308713	0.975372	0.986767	no
LHFPL3-AS1	LHFPL3-AS1	-	chr7:103969103-104567092	undifferentiated	differentiated	NOTEST	0.0651439	0.0145125	-2.16633	0.30298	0.761905	1	no
LHFPL3-AS2	LHFPL3-AS2	-	chr7:103969103-104567092	undifferentiated	differentiated	NOTEST	0	0.0382052	1.79769e+308	1.79769e+308	0.322432	1	no
LHFPL4	LHFPL4	-	chr3:9540044-9595486	undifferentiated	differentiated	OK	1.75451	1.96348	0.162347	-0.384717	0.700447	0.806537	no
LHFPL5	LHFPL5	-	chr6:35773070-35791852	undifferentiated	differentiated	OK	0.0268806	0.387155	3.84827	-2.05837	0.0395542	0.102382	no
LHPP	LHPP	-	chr10:126150340-126302710	undifferentiated	differentiated	OK	2.6512	3.18834	0.266161	-0.420269	0.674289	0.785786	no
LHX1	LHX1	-	chr17:35294771-35301915	undifferentiated	differentiated	NOTEST	0.0168319	0.0480837	1.51435	-0.651815	0.51452	1	no
LHX2	LHX2	-	chr9:126773888-126795442	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LHX3	LHX3	-	chr9:139088095-139096955	undifferentiated	differentiated	NOTEST	0	0.00955862	1.79769e+308	1.79769e+308	0.367309	1	no
LHX4	LHX4	-	chr1:180199432-180244188	undifferentiated	differentiated	NOTEST	0.0539868	0.100659	0.898793	-0.373907	0.708474	1	no
LHX5	LHX5	-	chr12:113900693-113909877	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LHX6	LHX6	-	chr9:124964855-124991091	undifferentiated	differentiated	NOTEST	0.163097	0.0617907	-1.40027	0.950256	0.341982	1	no
LHX8	LHX8	-	chr1:75594118-75627218	undifferentiated	differentiated	OK	0.612213	0.0941026	-2.70173	2.16403	0.0304619	0.0843896	no
LHX9	LHX9	-	chr1:197881634-197899273	undifferentiated	differentiated	OK	1.19506	3.05634	1.35473	-2.37791	0.017411	0.0556751	no
LIAS	LIAS	-	chr4:39460664-39479271	undifferentiated	differentiated	OK	2.97023	2.43323	-0.287705	0.521109	0.602291	0.730274	no
LIF	LIF	-	chr22:30636435-30642840	undifferentiated	differentiated	NOTEST	0.103801	0.116355	0.164716	-0.136729	0.891245	1	no
LIFR	LIFR	-	chr5:38475064-38595507	undifferentiated	differentiated	OK	2.95502	1.83948	-0.683871	2.05767	0.0396214	0.102494	no
LIG1	LIG1	-	chr19:48618702-48673560	undifferentiated	differentiated	OK	20.6024	11.3347	-0.862071	3.17383	0.00150441	0.00862259	yes
LIG3	LIG3	-	chr17:33307516-33332088	undifferentiated	differentiated	OK	12.2526	5.42879	-1.17438	3.45729	0.000545638	0.00392455	yes
LIG4	LIG4	-	chr13:108859791-108870716	undifferentiated	differentiated	OK	6.70456	5.79108	-0.211309	0.682002	0.495238	0.640193	no
LILRA1	LILRA1	-	chr19:55105040-55113687	undifferentiated	differentiated	NOTEST	0	0.0236531	1.79769e+308	1.79769e+308	0.135283	1	no
LILRA2	LILRA2	-	chr19:55085256-55099027	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LILRA3	LILRA3	-	chr19:54799854-54804265	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LILRA4	LILRA4	-	chr19:54844691-54850421	undifferentiated	differentiated	NOTEST	0	0.0271109	1.79769e+308	1.79769e+308	0.215176	1	no
LILRA5	LILRA5	-	chr19:54818352-54824409	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LILRA6	LILRA6	-	chr19:54740468-54746724	undifferentiated	differentiated	NOTEST	0	0.0135643	1.79769e+308	1.79769e+308	0.16138	1	no
LILRB1	LILRB1	-	chr19:55128628-55149004	undifferentiated	differentiated	NOTEST	0	0.00725977	1.79769e+308	1.79769e+308	0.290924	1	no
LILRB2	LILRB2	-	chr19:54777674-54785033	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LILRB3	LILRB3	-	chr19:54720146-54726959	undifferentiated	differentiated	NOTEST	0.0575284	0.0100692	-2.51432	1.0293	0.303341	1	no
LILRB4	LILRB4	-	chr19:55174123-55179846	undifferentiated	differentiated	NOTEST	0	0.0384956	1.79769e+308	1.79769e+308	0.273956	1	no
LILRB5	LILRB5	-	chr19:54754269-54761167	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LILRP2	LILRP2	-	chr19:55219600-55224887	undifferentiated	differentiated	NOTEST	0	0.0114031	1.79769e+308	1.79769e+308	0.175641	1	no
LIM2	LIM2	-	chr19:51883162-51891210	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LIMA1	LIMA1	-	chr12:50569562-50677353	undifferentiated	differentiated	OK	33.9566	15.2002	-1.1596	4.31649	0.0000158533	0.000223904	yes
LIMCH1	LIMCH1	-	chr4:41362803-41702061	undifferentiated	differentiated	OK	28.8017	13.2739	-1.11756	4.44974	0.00000859737	0.000133508	yes
LIMD1	LIMD1	-	chr3:45636322-45730374	undifferentiated	differentiated	OK	1.74233	0.537547	-1.69655	2.97076	0.00297064	0.0143559	yes
LIMD1-AS1	LIMD1-AS1	-	chr3:45636322-45730374	undifferentiated	differentiated	OK	1.43129	0.75028	-0.931813	1.21158	0.225673	0.367469	no
LIMD2	LIMD2	-	chr17:61699800-61777519	undifferentiated	differentiated	OK	16.0854	8.62304	-0.899484	2.59785	0.00938103	0.0344626	yes
LIME1	LIME1	-	chr20:62367977-62370460	undifferentiated	differentiated	OK	0.642965	0.666827	0.0525717	-0.0512317	0.959141	0.977765	no
LIMK1	LIMK1	-	chr7:73498106-73536855	undifferentiated	differentiated	OK	3.73392	2.29724	-0.700788	1.45816	0.144797	0.265396	no
LIMK2	LIMK2	-	chr22:31608249-31676066	undifferentiated	differentiated	OK	5.31982	2.78804	-0.932126	2.01994	0.0433893	0.109778	no
LIMS1	LIMS1	-	chr2:109150810-109303702	undifferentiated	differentiated	OK	7.88811	6.50598	-0.277914	0.839628	0.401117	0.555913	no
LIMS2	LIMS2	-	chr2:128395995-128439360	undifferentiated	differentiated	NOTEST	0.0157288	0.0107986	-0.542562	0.129624	0.896864	1	no
LIMS3	LIMS3	-	chr2:111160495-111230652	undifferentiated	differentiated	OK	1.1018	0.83896	-0.393188	0.53484	0.59276	0.72303	no
LIMS3-LOC440895	LIMS3-LOC440895	-	chr2:111160495-111230652	undifferentiated	differentiated	NOTEST	0.0194016	0.032548	0.746391	-0.0748684	0.940319	1	no
LIMS3L	LIMS3L	-	chr2:110656008-110726149	undifferentiated	differentiated	NOTEST	0.0781114	0.294205	1.91322	-0.658884	0.50997	1	no
LIN28A	LIN28A	-	chr1:26737268-26756219	undifferentiated	differentiated	NOTEST	0.117334	0.0501295	-1.22689	0.947496	0.343386	1	no
LIN28B	LIN28B	-	chr6:105404922-105531207	undifferentiated	differentiated	OK	13.2727	4.81299	-1.46345	4.97969	0.000000636851	0.0000159471	yes
LIN37	LIN37	-	chr19:36239261-36245420	undifferentiated	differentiated	OK	2.95236	3.65117	0.30649	-0.528478	0.597167	0.726829	no
LIN52	LIN52	-	chr14:74551655-74667117	undifferentiated	differentiated	OK	8.80405	5.01599	-0.811633	1.94961	0.0512231	0.124251	no
LIN54	LIN54	-	chr4:83845755-83934040	undifferentiated	differentiated	OK	6.30687	3.32734	-0.922556	2.72708	0.00638971	0.0256751	yes
LIN7A	LIN7A	-	chr12:81191170-81331694	undifferentiated	differentiated	NOTEST	0.0268545	0	-1.79769e+308	-1.79769e+308	0.320789	1	no
LIN7B	LIN7B	-	chr19:49617617-49622397	undifferentiated	differentiated	OK	1.58384	4.1835	1.40129	-1.57637	0.114941	0.224211	no
LIN7C	LIN7C	-	chr11:27515964-27528326	undifferentiated	differentiated	OK	19.6063	12.7142	-0.624872	2.35646	0.0184499	0.0580839	no
LIN9	LIN9	-	chr1:226418849-226497449	undifferentiated	differentiated	OK	11.919	4.32397	-1.46283	3.90636	0.0000936987	0.000947897	yes
LINC-ROR	LINC-ROR	-	chr18:54721803-54739350	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00028	LINC00028	-	chr20:30073580-30075377	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00029	LINC00029	-	chr20:61640734-61716423	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00032	LINC00032	-	chr9:27245681-27282791	undifferentiated	differentiated	NOTEST	0.0244312	0.0074854	-1.70657	0.620904	0.534663	1	no
LINC00051	LINC00051	-	chr8:143279716-143290364	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00052	LINC00052	-	chr15:88120159-88122917	undifferentiated	differentiated	NOTEST	0	0.0377609	1.79769e+308	1.79769e+308	0.194303	1	no
LINC00085	LINC00085	-	chr19:52196592-52208443	undifferentiated	differentiated	OK	0.457437	0.425115	-0.10572	0.119067	0.905222	0.943122	no
LINC00086	LINC00086	-	chrX:134555867-134560225	undifferentiated	differentiated	OK	0.149167	0.80412	2.43048	-2.54721	0.0108589	0.0386395	yes
LINC00087	LINC00087	-	chrX:134229014-134232733	undifferentiated	differentiated	NOTEST	0.00676433	0.217431	5.00646	-1.96487	0.0494294	1	no
LINC00092	LINC00092	-	chr9:98782013-98784037	undifferentiated	differentiated	NOTEST	0.0283021	0	-1.79769e+308	-1.79769e+308	0.276832	1	no
LINC00094	LINC00094	-	chr9:136890560-136933141	undifferentiated	differentiated	OK	2.7187	2.13708	-0.347279	0.688333	0.491243	0.636961	no
LINC00102	LINC00102	-	chrX:2527305-2575270	undifferentiated	differentiated	NOTEST	0	0.0279288	1.79769e+308	1.79769e+308	0.164102	1	no
LINC00111	LINC00111	-	chr21:43099461-43117496	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00112	LINC00112	-	chr21:43136595-43137742	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00113	LINC00113	-	chr21:28659821-29283529	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00114	LINC00114	-	chr21:40110878-40145401	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00115	LINC00115	-	chr1:761585-762902	undifferentiated	differentiated	NOTEST	0.280766	0.370985	0.401993	-0.328065	0.742862	1	no
LINC00116	LINC00116	-	chr2:110969105-110980517	undifferentiated	differentiated	OK	3.96533	2.4845	-0.674487	1.22974	0.218795	0.35922	no
LINC00152	LINC00152	-	chr2:87754973-87821030	undifferentiated	differentiated	OK	2.16153	1.10384	-0.969516	0.802375	0.422336	0.576404	no
LINC00158	LINC00158	-	chr21:26758132-26804013	undifferentiated	differentiated	NOTEST	0.0227653	0.0803169	1.81887	-0.741276	0.458526	1	no
LINC00159	LINC00159	-	chr21:33452793-33458608	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00160	LINC00160	-	chr21:36096104-36109479	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00161	LINC00161	-	chr21:29911639-29912677	undifferentiated	differentiated	NOTEST	0.0826292	0.269871	1.70754	-0.505569	0.613159	1	no
LINC00162	LINC00162	-	chr21:46419126-46424642	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00163	LINC00163	-	chr21:46409778-46414001	undifferentiated	differentiated	NOTEST	0.0126456	0.0104207	-0.279174	0.0844184	0.932724	1	no
LINC00167	LINC00167	-	chr11:129769600-129875381	undifferentiated	differentiated	NOTEST	0.181209	0.0999043	-0.859036	0.38894	0.697321	1	no
LINC00173	LINC00173	-	chr12:116971226-116974318	undifferentiated	differentiated	NOTEST	0	0.121647	1.79769e+308	1.79769e+308	0.117684	1	no
LINC00174	LINC00174	-	chr7:65841030-65865395	undifferentiated	differentiated	NOTEST	0.198607	0.225902	0.185776	-0.177478	0.859133	1	no
LINC00176	LINC00176	-	chr20:62665696-62671315	undifferentiated	differentiated	NOTEST	0.180201	0.102243	-0.817606	0.778209	0.436446	1	no
LINC00184	LINC00184	-	chr1:234765056-234770526	undifferentiated	differentiated	NOTEST	0	0.0299228	1.79769e+308	1.79769e+308	0.149918	1	no
LINC00189	LINC00189	-	chr21:30565814-30660526	undifferentiated	differentiated	NOTEST	0.378745	0	-1.79769e+308	-1.79769e+308	0.0797085	1	no
LINC00200	LINC00200	-	chr10:1205707-1210612	undifferentiated	differentiated	NOTEST	0	0.0303842	1.79769e+308	1.79769e+308	0.145198	1	no
LINC00202	LINC00202	-	chr10:27220134-27230930	undifferentiated	differentiated	NOTEST	0	0.00374319	1.79769e+308	1.79769e+308	0.264755	1	no
LINC00207	LINC00207	-	chr22:44965219-44968329	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00208	LINC00208	-	chr8:11434043-11438850	undifferentiated	differentiated	NOTEST	0.0158546	0.0118143	-0.424366	0.128426	0.897812	1	no
LINC00210	LINC00210	-	chr1:218066241-218094146	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00221	LINC00221	-	chr14:106938454-106951529	undifferentiated	differentiated	OK	13.1807	8.26388	-0.673536	2.08425	0.0371372	0.0977256	no
LINC00222	LINC00222	-	chr6:109072856-109091145	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00226	LINC00226	-	chr14:106744268-106744966	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00229	LINC00229	-	chr22:45002207-45021299	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00235	LINC00235	-	chr16:576846-577407	undifferentiated	differentiated	NOTEST	0.0803818	0.167699	1.06093	-0.35936	0.719326	1	no
LINC00238	LINC00238	-	chr14:66953108-66965271	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00239	LINC00239	-	chr14:102196773-102198862	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00240	LINC00240	-	chr6:26924771-26991753	undifferentiated	differentiated	OK	0.139219	0.46525	1.74065	-0.923365	0.355817	0.512194	no
LINC00242	LINC00242	-	chr6:170188885-170202969	undifferentiated	differentiated	NOTEST	0.0371524	0.0275181	-0.433075	0.171731	0.863649	1	no
LINC00244	LINC00244	-	chr7:156333184-156333795	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00251	LINC00251	-	chr8:66073379-66092575	undifferentiated	differentiated	NOTEST	0	0.013735	1.79769e+308	1.79769e+308	0.264755	1	no
LINC00254	LINC00254	-	chr16:1928285-1934232	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00260	LINC00260	-	chr1:203595914-203713209	undifferentiated	differentiated	NOTEST	0	0.183835	1.79769e+308	1.79769e+308	0.328527	1	no
LINC00261	LINC00261	-	chr20:22541191-22559280	undifferentiated	differentiated	NOTEST	0.0164909	0.0487007	1.56227	-0.822025	0.411062	1	no
LINC00263	LINC00263	-	chr10:102133332-102148111	undifferentiated	differentiated	OK	7.40381	11.305	0.610621	-1.39209	0.163895	0.291921	no
LINC00264	LINC00264	-	chr10:26878793-26883251	undifferentiated	differentiated	NOTEST	0.0314576	0.0360726	0.197496	-0.0678129	0.945935	1	no
LINC00265	LINC00265	-	chr7:39773166-39834222	undifferentiated	differentiated	OK	0.802969	0.995754	0.310444	-0.508592	0.611038	0.737668	no
LINC00266-1	LINC00266-1	-	chr20:62921737-62934707	undifferentiated	differentiated	OK	0.838763	1.07221	0.354248	-0.3469	0.728666	0.82746	no
LINC00271	LINC00271	-	chr6:135818938-136011976	undifferentiated	differentiated	NOTEST	0.159758	0.152567	-0.0664453	0.0466667	0.962779	1	no
LINC00272	LINC00272	-	chr1:182376755-182383948	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00273	LINC00273	-	chr16:33961051-33962503	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00277	LINC00277	-	chr15:69116302-69564544	undifferentiated	differentiated	NOTEST	0.0853604	0.0533741	-0.677426	0.206088	0.836722	1	no
LINC00278	LINC00278	-	chrY:2871036-2970313	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00281	LINC00281	-	chrUn_gl000212:24048-60768	undifferentiated	differentiated	NOTEST	0	0.0306393	1.79769e+308	1.79769e+308	0.145198	1	no
LINC00282	LINC00282	-	chr13:52387482-52419286	undifferentiated	differentiated	NOTEST	0	0.0980831	1.79769e+308	1.79769e+308	0.0575238	1	no
LINC00284	LINC00284	-	chr13:44596470-44604599	undifferentiated	differentiated	NOTEST	0	0.0530807	1.79769e+308	1.79769e+308	0.106544	1	no
LINC00290	LINC00290	-	chr4:181985242-182080302	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00293	LINC00293	-	chr8:47752507-47767407	undifferentiated	differentiated	NOTEST	0	0.0715985	1.79769e+308	1.79769e+308	0.112115	1	no
LINC00294	LINC00294	-	chr11:33097695-33101000	undifferentiated	differentiated	OK	1.84708	1.66221	-0.15214	0.28326	0.776977	0.858987	no
LINC00297	LINC00297	-	chr13:30446749-30462542	undifferentiated	differentiated	NOTEST	0	0.0341772	1.79769e+308	1.79769e+308	0.220743	1	no
LINC00299	LINC00299	-	chr2:8147900-8468549	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00301	LINC00301	-	chr11:60383223-60454621	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00303	LINC00303	-	chr1:204001574-204010392	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00304	LINC00304	-	chr16:89225627-89230083	undifferentiated	differentiated	NOTEST	0	0.0389898	1.79769e+308	1.79769e+308	0.145198	1	no
LINC00305	LINC00305	-	chr18:61747242-62090827	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00307	LINC00307	-	chr21:31581468-31584101	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00308	LINC00308	-	chr21:23470935-23488847	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00309	LINC00309	-	chr2:64412212-64432619	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00310	LINC00310	-	chr21:35552977-35562220	undifferentiated	differentiated	NOTEST	0.0510764	0.0460735	-0.14872	0.039598	0.968414	1	no
LINC00311	LINC00311	-	chr16:85316563-85321685	undifferentiated	differentiated	NOTEST	0.103243	0	-1.79769e+308	-1.79769e+308	0.105194	1	no
LINC00312	LINC00312	-	chr3:8613467-8616354	undifferentiated	differentiated	NOTEST	0.337961	0.341816	0.0163612	-0.0174725	0.98606	1	no
LINC00313	LINC00313	-	chr21:44881973-44898103	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00314	LINC00314	-	chr21:29385681-29395528	undifferentiated	differentiated	NOTEST	0.474611	0.270039	-0.813574	0.432325	0.665505	1	no
LINC00317	LINC00317	-	chr21:23095612-23109639	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00319	LINC00319	-	chr21:44869903-44873771	undifferentiated	differentiated	NOTEST	0.0582789	0.0692518	0.248878	-0.149227	0.881375	1	no
LINC00320	LINC00320	-	chr21:22114912-22175426	undifferentiated	differentiated	NOTEST	0	0.00768227	1.79769e+308	1.79769e+308	0.264755	1	no
LINC00323	LINC00323	-	chr21:42513426-42519991	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00324	LINC00324	-	chr17:8123947-8127361	undifferentiated	differentiated	OK	0.645252	0.433409	-0.574133	0.607264	0.543676	0.681791	no
LINC00326	LINC00326	-	chr6:133409218-133427717	undifferentiated	differentiated	NOTEST	0	0.0288564	1.79769e+308	1.79769e+308	0.183897	1	no
LINC00327	LINC00327	-	chr13:24043650-24061603	undifferentiated	differentiated	NOTEST	0.0984732	0.144997	0.558222	-0.411769	0.680508	1	no
LINC00330	LINC00330	-	chr13:45373639-45383766	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00331	LINC00331	-	chr13:79361453-79414160	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00332	LINC00332	-	chr13:40755945-40763167	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00333	LINC00333	-	chr13:84714736-85180903	undifferentiated	differentiated	NOTEST	0	0.068285	1.79769e+308	1.79769e+308	0.215176	1	no
LINC00336	LINC00336	-	chr6:33551475-33561115	undifferentiated	differentiated	NOTEST	0	0.0151826	1.79769e+308	1.79769e+308	0.221002	1	no
LINC00338	LINC00338	-	chr17:75084724-75213181	undifferentiated	differentiated	OK	2.51305	1.32272	-0.925929	0.940498	0.346962	0.502383	no
LINC00339	LINC00339	-	chr1:22351706-22357715	undifferentiated	differentiated	OK	1.14	1.65946	0.54168	-0.542311	0.587604	0.718862	no
LINC00340	LINC00340	-	chr6:21666674-22194616	undifferentiated	differentiated	OK	4.14597	3.1478	-0.397367	0.830123	0.406469	0.561206	no
LINC00341	LINC00341	-	chr14:95873603-95876427	undifferentiated	differentiated	OK	1.30955	0.208576	-2.65042	3.17184	0.00151476	0.00866252	yes
LINC00343	LINC00343	-	chr13:106359217-106414143	undifferentiated	differentiated	NOTEST	0	0.0683439	1.79769e+308	1.79769e+308	0.145198	1	no
LINC00346	LINC00346	-	chr13:111516333-111522655	undifferentiated	differentiated	NOTEST	0.00442512	0.0158328	1.83913	-0.682717	0.494786	1	no
LINC00347	LINC00347	-	chr13:75126979-75131257	undifferentiated	differentiated	NOTEST	0.00953766	0.0412214	2.11169	-0.476856	0.633465	1	no
LINC00348	LINC00348	-	chr13:71589272-71742549	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00351	LINC00351	-	chr13:85937737-86118797	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00353	LINC00353	-	chr13:90201047-90216667	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00359	LINC00359	-	chr13:97593534-97636426	undifferentiated	differentiated	NOTEST	0.407248	0	-1.79769e+308	-1.79769e+308	0.0777283	1	no
LINC00366	LINC00366	-	chr13:39141860-39153653	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00379	LINC00379	-	chr13:91779866-91863952	undifferentiated	differentiated	NOTEST	0	0.156297	1.79769e+308	1.79769e+308	0.194303	1	no
LINC00381	LINC00381	-	chr13:74993309-75009296	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00398	LINC00398	-	chr13:31377342-31384782	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00410	LINC00410	-	chr13:91543207-91578851	undifferentiated	differentiated	NOTEST	0	0.019123	1.79769e+308	1.79769e+308	0.175641	1	no
LINC00421	LINC00421	-	chr13:19919188-19920889	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00423	LINC00423	-	chr13:33383327-33485790	undifferentiated	differentiated	NOTEST	0	0.0638654	1.79769e+308	1.79769e+308	0.144777	1	no
LINC00424	LINC00424	-	chr13:22446934-22452299	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00426	LINC00426	-	chr13:30914406-30948036	undifferentiated	differentiated	NOTEST	0	0.0884131	1.79769e+308	1.79769e+308	0.144607	1	no
LINC00433	LINC00433	-	chr13:89193083-89197764	undifferentiated	differentiated	NOTEST	0	0.0511868	1.79769e+308	1.79769e+308	0.220743	1	no
LINC00439	LINC00439	-	chr13:78469615-78549674	undifferentiated	differentiated	NOTEST	0	0.0209505	1.79769e+308	1.79769e+308	0.405516	1	no
LINC00441	LINC00441	-	chr13:48870648-48877797	undifferentiated	differentiated	NOTEST	0.0414971	0.14591	1.814	-0.796674	0.425641	1	no
LINC00442	LINC00442	-	chr13:19582398-19586774	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00443	LINC00443	-	chr13:107306227-107324528	undifferentiated	differentiated	NOTEST	0	0.0303648	1.79769e+308	1.79769e+308	0.220743	1	no
LINC00446	LINC00446	-	chr13:78587017-78627730	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00457	LINC00457	-	chr13:35009590-35214822	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00460	LINC00460	-	chr13:107028910-107030142	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
LINC00461	LINC00461	-	chr5:87836596-87980620	undifferentiated	differentiated	OK	2.08794	0.907352	-1.20234	1.74469	0.0810386	0.174706	no
LINC00462	LINC00462	-	chr13:49151109-49155037	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
